,HINCP,HISPEED,PAP,GRPIP,FS,FES
39,390,0,390,101,2,0
76,106600,2,0,14,0,0
77,106600,2,0,14,0,0
91,80000,2,0,27,0,1
92,80000,2,0,27,0,1
93,80000,2,0,27,0,1
134,1600,1,800,101,2,1
160,70100,2,0,14,0,1
161,70100,2,0,14,0,1
169,6500,0,500,101,2,0
170,6500,0,0,101,2,0
187,145000,2,0,13,0,2
188,145000,2,0,13,0,2
189,145000,2,0,13,0,2
190,145000,2,0,13,0,2
244,183700,2,0,17,0,2
245,183700,2,0,17,0,2
258,48500,2,0,22,0,2
259,48500,2,0,22,0,2
265,67000,2,0,25,0,2
266,67000,2,0,25,0,2
279,104180,1,0,22,2,2
280,104180,1,0,22,2,2
281,104180,1,0,22,2,2
282,104180,1,0,22,2,2
283,104180,1,280,22,2,2
310,41000,1,0,27,0,1
311,41000,1,0,27,0,1
340,38000,1,0,62,2,1
350,64300,2,0,44,0,1
351,64300,2,0,44,0,1
352,64300,2,0,44,0,1
353,64300,2,0,44,0,1
354,64300,2,0,44,0,1
355,64300,2,0,44,0,1
376,54100,2,0,29,0,0
377,54100,2,0,29,0,0
417,65000,2,0,24,0,1
432,60000,2,0,37,0,2
433,60000,2,0,37,0,2
434,60000,2,0,37,0,2
473,20000,2,0,101,2,0
474,20000,2,0,101,2,0
483,55000,2,0,32,0,1
484,55000,2,0,32,0,1
518,29800,2,0,31,2,0
519,29800,2,0,31,2,0
520,29800,2,0,31,2,0
539,15720,2,0,95,2,1
540,15720,2,0,95,2,1
541,15720,2,0,95,2,1
555,37000,2,0,24,0,1
556,37000,2,0,24,0,1
557,37000,2,0,24,0,1
558,37000,2,0,24,0,1
575,70500,2,0,21,0,2
576,70500,2,0,21,0,2
577,70500,2,0,21,0,2
578,70500,2,0,21,0,2
592,50300,2,0,26,0,1
593,50300,2,0,26,0,1
640,140100,2,0,21,0,1
641,140100,2,0,21,0,1
647,31200,2,0,31,0,0
648,31200,2,0,31,0,0
698,10000,2,0,101,2,1
699,10000,2,0,101,2,1
700,10000,2,0,101,2,1
762,92600,2,0,22,0,2
763,92600,2,0,22,0,2
764,92600,2,0,22,0,2
765,92600,2,0,22,0,2
795,16000,2,0,31,0,0
796,16000,2,0,31,0,0
815,90000,2,0,19,0,2
816,90000,2,0,19,0,2
833,38500,0,0,20,0,1
834,38500,0,0,20,0,1
845,147000,2,0,20,0,2
846,147000,2,0,20,0,2
861,96900,2,0,21,0,1
862,96900,2,0,21,0,1
863,96900,2,0,21,0,1
864,74820,2,0,46,0,1
865,74820,2,0,46,0,1
866,74820,2,420,46,0,1
871,90000,2,0,29,2,1
872,90000,2,0,29,2,1
873,90000,2,0,29,2,1
880,35800,2,0,41,2,1
881,35800,2,0,41,2,1
901,76700,2,0,26,2,2
902,76700,2,0,26,2,2
903,76700,2,0,26,2,2
911,51700,2,0,20,2,2
912,51700,2,0,20,2,2
978,26500,2,0,101,2,1
979,26500,2,0,101,2,1
988,147000,2,0,19,0,2
989,147000,2,0,19,0,2
1008,119400,2,0,9,0,1
1009,119400,2,0,9,0,1
1010,119400,2,0,9,0,1
1013,87000,1,0,20,0,1
1014,87000,1,0,20,0,1
1015,87000,1,0,20,0,1
1025,79300,2,0,35,0,2
1026,79300,2,0,35,0,2
1027,79300,2,0,35,0,2
1037,397500,2,0,10,0,2
1038,397500,2,0,10,0,2
1052,104000,2,0,17,0,1
1053,104000,2,0,17,0,1
1102,59000,1,0,13,0,2
1103,59000,1,0,13,0,2
1118,105410,2,0,41,0,2
1119,105410,2,0,41,0,2
1120,105410,2,0,41,0,2
1157,13800,1,0,75,0,2
1158,13800,1,0,75,0,2
1201,47900,1,0,15,2,1
1202,47900,1,0,15,2,1
1203,47900,1,0,15,2,1
1204,179000,2,0,11,0,2
1205,179000,2,0,11,0,2
1268,74000,2,0,50,0,1
1269,74000,2,0,50,0,1
1278,9500,2,0,101,0,2
1279,9500,2,0,101,0,2
1288,8800,2,0,35,2,0
1289,8800,2,0,35,2,0
1314,25000,2,0,71,0,1
1315,25000,2,0,71,0,1
1328,9000,0,0,101,2,0
1329,9000,0,0,101,2,0
1330,9000,0,0,101,2,0
1331,9000,0,0,101,2,0
1404,58300,2,0,27,0,2
1405,58300,2,0,27,0,2
1406,58300,2,0,27,0,2
1455,38000,1,0,22,0,1
1456,38000,1,0,22,0,1
1476,36800,2,0,60,0,1
1477,36800,2,0,60,0,1
1488,70000,2,0,24,0,1
1489,70000,2,0,24,0,1
1502,106500,0,800,14,2,0
1503,106500,0,0,14,2,0
1541,25400,2,0,96,0,2
1542,25400,2,0,96,0,2
1543,25400,2,0,96,0,2
1552,26600,2,0,31,0,0
1553,26600,2,0,31,0,0
1561,79200,2,0,18,0,1
1562,79200,2,0,18,0,1
