,HINCP,HISPEED,ST,PINCP
13,-60000,0,36,1000
34,-60000,0,36,870
42,-60000,0,36,0
44,-60000,0,36,9000
106,-60000,0,36,1700
114,-60000,0,36,1000
121,-60000,0,36,0
133,-60000,0,36,5000
144,-60000,0,36,2900
147,-60000,0,36,12000
154,-60000,0,36,22400
179,-60000,0,36,0
197,-60000,0,36,8900
233,-60000,0,36,0
234,-60000,0,36,0
253,-60000,0,36,2200
255,-60000,0,36,360
269,-60000,0,36,0
273,-60000,0,36,0
286,-60000,0,36,3310
297,-60000,0,36,1400
322,-60000,0,36,0
351,-60000,0,36,10000
360,-60000,0,36,4300
389,-60000,0,36,1000
405,-60000,0,36,11200
408,-60000,0,36,19600
414,-60000,0,36,1000
428,-60000,0,36,0
450,-60000,0,36,14200
463,-60000,0,36,2200
474,-60000,0,36,82000
500,-60000,0,36,3960
507,-60000,0,36,1200
519,-60000,0,36,0
522,-60000,0,36,0
530,-60000,0,36,0
541,-60000,0,36,0
544,-60000,0,36,1
549,-60000,0,36,5000
573,-60000,0,36,82000
611,-60000,0,36,3000
615,-60000,0,36,8100
629,-60000,0,36,13900
643,-60000,0,36,40000
672,-60000,0,36,9000
726,-60000,0,36,170
754,-60000,0,36,5550
763,-60000,0,36,9300
769,-60000,0,36,0
782,-60000,0,36,16500
794,-60000,0,36,0
807,-60000,0,36,0
817,-60000,0,36,600
832,-60000,0,36,3040
835,-60000,0,36,1200
836,-60000,0,36,0
842,-60000,0,36,14100
847,-60000,0,36,0
871,-60000,0,36,1000
883,-60000,0,36,0
891,-60000,0,36,8700
901,-60000,0,36,7900
922,-60000,0,36,10000
950,-60000,0,36,13900
961,-60000,0,36,3000
1004,-60000,0,36,0
1044,-60000,0,36,0
1051,-60000,0,36,35000
1065,-60000,0,36,0
1078,-60000,0,36,0
1085,-60000,0,36,18000
1149,-60000,0,36,4500
1169,-60000,0,36,10500
1180,-60000,0,36,14100
1198,-60000,0,36,9600
1218,-60000,0,36,0
1225,-60000,0,36,590
1242,-60000,0,36,4500
1254,-60000,0,36,23100
1306,-60000,0,36,7900
1337,-60000,0,36,22000
1357,-60000,0,36,0
1382,-60000,0,36,45600
1384,-60000,0,36,7200
1387,-60000,0,36,18000
1402,-60000,0,36,0
1446,-60000,0,36,0
1478,-60000,0,36,5500
1502,-60000,0,36,13000
1516,-60000,0,36,48000
1538,-60000,0,36,13000
1541,-60000,0,36,0
1560,-60000,0,36,18300
1593,-60000,0,36,0
1601,-60000,0,36,0
1615,-60000,0,36,14200
1628,-60000,0,36,1800
1632,-60000,0,36,1000
1641,-60000,0,36,3000
1657,-60000,0,36,1000
1658,-60000,0,36,0
1683,-60000,0,36,1600
1686,-60000,0,36,1500
1705,-60000,0,36,37600
1712,-60000,0,36,0
1725,-60000,0,36,0
1756,-60000,0,36,35000
1762,-60000,0,36,0
1771,-60000,0,36,420
1777,-60000,0,36,0
1811,-60000,0,36,9000
1815,-60000,0,36,13400
1826,-60000,0,36,25000
1860,-60000,0,36,7900
1861,-60000,0,36,0
1875,-60000,0,36,22500
1877,-60000,0,36,0
1878,-60000,0,36,0
1887,-60000,0,36,0
1890,-60000,0,36,0
1898,-60000,0,36,12000
1910,-60000,0,36,0
1929,-60000,0,36,12900
1931,-60000,0,36,3000
1933,-60000,0,36,5000
1940,-60000,0,36,12900
1941,-60000,0,36,330
1948,-60000,0,36,1000
1999,-60000,0,36,2400
2000,-60000,0,36,0
2011,-60000,0,36,61000
2012,-60000,0,36,2300
2014,-60000,0,36,11600
2024,-60000,0,36,0
2046,-60000,0,36,10500
2050,-60000,0,36,8400
2072,-60000,0,36,2100
2082,-60000,0,36,3000
2109,-60000,0,36,0
2153,-60000,0,36,21300
2173,-60000,0,36,12300
2194,-60000,0,36,12000
2212,-60000,0,36,2000
2214,-60000,0,36,0
2235,-60000,0,36,11100
2258,-60000,0,36,25400
2307,-60000,0,36,2800
2312,-60000,0,36,126000
2318,-60000,0,36,0
2366,-60000,0,36,20600
2375,-60000,0,36,15000
2376,-60000,0,36,0
2382,-60000,0,36,14400
2391,-60000,0,36,0
2440,-60000,0,36,0
2479,-60000,0,36,2500
2501,-60000,0,36,5000
2503,-60000,0,36,0
2520,-60000,0,36,20700
2540,-60000,0,36,0
2546,-60000,0,36,4500
2553,-60000,0,36,7900
2566,-60000,0,36,2000
2588,-60000,0,36,2600
2594,-60000,0,36,0
2600,-60000,0,36,56900
2608,-60000,0,36,46500
2619,-60000,0,36,9800
2624,-60000,0,36,9200
2641,-60000,0,36,15600
2657,-60000,0,36,0
2663,-60000,0,36,0
2728,-60000,0,36,0
2729,-60000,0,36,1400
2731,-60000,0,36,12000
2739,-60000,0,36,3000
2744,-60000,0,36,18000
2790,-60000,0,36,3500
2791,-60000,0,36,1100
2797,-60000,0,36,9600
2798,-60000,0,36,-6700
2805,-60000,0,36,110
2829,-60000,0,36,85700
2845,-60000,0,36,0
2857,-60000,0,36,0
2875,-60000,0,36,8000
2882,-60000,0,36,3000
